scenario,scenario_zh,supplysector,base_supplysector,subsector,technology,input,technology_class,period,efficiency_2025_start,annual_improvement_rate_pct,default_gcam_efficiency,proposed_efficiency,change_vs_2025_pct,energy_intensity_ratio_vs_2025,high_eff_counterpart,counterpart_efficiency,absolute_cap,binding_constraint
conservative,保守,comm heating,comm heating,electricity,electric heat pump,elect_td_bld,heat_pump,2025,1.5,0.0,1.5,1.5,0.0,1.0,,,2.2,
conservative,保守,comm heating,comm heating,electricity,electric heat pump,elect_td_bld,heat_pump,2030,1.5,0.35000000000000003,1.5,1.526434394251257,1.7622929500838103,0.982682259813581,,,2.2,
conservative,保守,comm heating,comm heating,electricity,electric heat pump,elect_td_bld,heat_pump,2035,1.5,0.35000000000000003,1.5,1.5533346399688015,3.5556426645867667,0.9656644237523263,,,2.2,
conservative,保守,comm heating,comm heating,electricity,electric heat pump,elect_td_bld,heat_pump,2040,1.5,0.25,1.5,1.572848649395484,4.856576626365605,0.9536836240260733,,,2.2,
conservative,保守,comm heating,comm heating,electricity,electric heat pump,elect_td_bld,heat_pump,2045,1.5,0.25,1.5,1.5926078066184666,6.173853774564431,0.9418514676158107,,,2.2,
conservative,保守,comm heating,comm heating,electricity,electric heat pump,elect_td_bld,heat_pump,2050,1.5,0.25,1.5,1.6126151913452924,7.5076794230194865,0.9301661103345148,,,2.2,
conservative,保守,comm heating,comm heating,electricity,electric heat pump,elect_td_bld,heat_pump,2055,1.5,0.15,1.5,1.6247461435887822,8.316409572585481,0.9232211480660975,,,2.2,
conservative,保守,comm heating,comm heating,electricity,electric heat pump,elect_td_bld,heat_pump,2060,1.5,0.15,1.5,1.6369683513302504,9.131223422016689,0.916328039440136,,,2.2,
conservative,保守,comm heating,comm heating,electricity,electric heat pump,elect_td_bld,heat_pump,2065,1.5,0.15,1.5,1.6492825010422627,9.952166736150847,0.9094863972982653,,,2.2,
conservative,保守,comm heating,comm heating,electricity,electric heat pump,elect_td_bld,heat_pump,2070,1.5,0.05,1.5,1.653409832563239,10.227322170882601,0.9072160879039823,,,2.2,
conservative,保守,comm heating,comm heating,electricity,electric heat pump,elect_td_bld,heat_pump,2075,1.5,0.05,1.5,1.6575474927365068,10.503166182433787,0.9049514457794474,,,2.2,
conservative,保守,comm heating,comm heating,electricity,electric heat pump,elect_td_bld,heat_pump,2080,1.5,0.05,1.5,1.6616955074095316,10.779700493968768,0.9026924567777139,,,2.2,
conservative,保守,comm heating,comm heating,electricity,electric heat pump,elect_td_bld,heat_pump,2085,1.5,0.05,1.5,1.665853902494462,11.05692683296413,0.9004391067871491,,,2.2,
conservative,保守,comm heating,comm heating,electricity,electric heat pump,elect_td_bld,heat_pump,2090,1.5,0.05,1.5,1.6700227039682918,11.334846931219445,0.8981913817313468,,,2.2,
conservative,保守,comm heating,comm heating,electricity,electric heat pump,elect_td_bld,heat_pump,2095,1.5,0.05,1.5,1.6742019378730222,11.613462524868146,0.895949267569039,,,2.2,
conservative,保守,comm heating,comm heating,electricity,electric heat pump,elect_td_bld,heat_pump,2100,1.5,0.05,1.5,1.6783916303158244,11.892775354388284,0.8937127502940084,,,2.2,
conservative,保守,comm cooling,comm cooling,electricity,air conditioning,elect_td_bld,cooling_standard,2025,2.8095,0.0,2.8094814814814817,2.8095,0.0,1.0,air conditioning hi-eff,4.4444,,
conservative,保守,comm cooling,comm cooling,electricity,air conditioning,elect_td_bld,cooling_standard,2030,2.8095,0.65,2.8605185185185182,2.9020035044476384,3.2925255186915248,0.9681242616330866,air conditioning hi-eff,4.5340019541093834,,
conservative,保守,comm cooling,comm cooling,electricity,air conditioning,elect_td_bld,cooling_standard,2035,2.8095,0.65,2.888,2.997552710384899,6.693458280295395,0.9372645859626093,air conditioning hi-eff,4.6254103410736445,,
conservative,保守,comm cooling,comm cooling,electricity,air conditioning,elect_td_bld,cooling_standard,2040,2.8095,0.44999999999999996,2.9165185185185183,3.06560738846377,9.115763960269451,0.9164578642954961,air conditioning hi-eff,4.695209033855651,,
conservative,保守,comm cooling,comm cooling,electricity,air conditioning,elect_td_bld,cooling_standard,2045,2.8095,0.44999999999999996,2.9694814814814814,3.135207140026211,11.593064247240115,0.896113039592182,air conditioning hi-eff,4.7660610077856695,,
conservative,保守,comm cooling,comm cooling,electricity,air conditioning,elect_td_bld,cooling_standard,2050,2.8095,0.44999999999999996,2.998,3.206387043514101,14.126607706499428,0.876219858012174,air conditioning hi-eff,4.837982157161037,,
conservative,保守,comm cooling,comm cooling,electricity,air conditioning,elect_td_bld,cooling_standard,2055,2.8095,0.25,3.027814814814815,3.2466677823727825,15.560341070396255,0.8653487786011526,air conditioning hi-eff,4.8865558854447,,
conservative,保守,comm cooling,comm cooling,electricity,air conditioning,elect_td_bld,cooling_standard,2060,2.8095,0.25,3.0831851851851853,3.287454554315113,17.012085933978028,0.8546125744346033,air conditioning hi-eff,4.935617297850117,,
conservative,保守,comm cooling,comm cooling,electricity,air conditioning,elect_td_bld,cooling_standard,2065,2.8095,0.25,3.113,3.328753716460872,18.48206856952739,0.8440095721431317,air conditioning hi-eff,4.985171290764923,,
conservative,保守,comm cooling,comm cooling,electricity,air conditioning,elect_td_bld,cooling_standard,2070,2.8095,0.1,3.1435925925925927,3.345430805884523,19.075664918473855,0.8398021549446382,air conditioning hi-eff,5.005143906558529,,
conservative,保守,comm cooling,comm cooling,electricity,air conditioning,elect_td_bld,cooling_standard,2075,2.8095,0.1,3.200407407407407,3.362191447693041,19.67223519106749,0.8356157118678448,air conditioning hi-eff,5.025196540742352,,
conservative,保守,comm cooling,comm cooling,electricity,air conditioning,elect_td_bld,cooling_standard,2080,2.8095,0.1,3.231,3.37903606048471,20.2717942866955,0.8314501383560221,air conditioning hi-eff,5.0453295139024785,,
conservative,保守,comm cooling,comm cooling,electricity,air conditioning,elect_td_bld,cooling_standard,2085,2.8095,0.1,3.263148148148148,3.395965064954995,20.87435717939119,0.8273053303736599,air conditioning hi-eff,5.065543147909397,,
conservative,保守,comm cooling,comm cooling,electricity,air conditioning,elect_td_bld,cooling_standard,2090,2.8095,0.1,3.3228518518518517,3.4129788839070514,21.47993891820792,0.8231811844038686,air conditioning hi-eff,5.085837765923135,,
conservative,保守,comm cooling,comm cooling,electricity,air conditioning,elect_td_bld,cooling_standard,2095,2.8095,0.1,3.355,3.4300779422622805,22.08855462759496,0.8190775974457934,air conditioning hi-eff,5.106213692398434,,
conservative,保守,comm cooling,comm cooling,electricity,air conditioning,elect_td_bld,cooling_standard,2100,2.8095,0.1,3.355,3.4472626670709454,22.700219507775255,0.8149944670120433,air conditioning hi-eff,5.12667125308993,,
conservative,保守,comm cooling,comm cooling,electricity,air conditioning hi-eff,elect_td_bld,cooling_high,2025,4.4444,0.0,4.0,4.4444,0.0,1.0,,,6.5,
conservative,保守,comm cooling,comm cooling,electricity,air conditioning hi-eff,elect_td_bld,cooling_high,2030,4.4444,0.4,4.0,4.5340019541093834,2.0160641281024017,0.9802377777918306,,,6.5,
conservative,保守,comm cooling,comm cooling,electricity,air conditioning hi-eff,elect_td_bld,cooling_high,2035,4.4444,0.4,4.0,4.6254103410736445,4.072773401891028,0.9608661010102666,,,6.5,
conservative,保守,comm cooling,comm cooling,electricity,air conditioning hi-eff,elect_td_bld,cooling_high,2040,4.4444,0.3,4.0,4.695209033855651,5.64325969434909,0.9465819238191213,,,6.5,
conservative,保守,comm cooling,comm cooling,electricity,air conditioning hi-eff,elect_td_bld,cooling_high,2045,4.4444,0.3,4.0,4.7660610077856695,7.237445049628066,0.9325100943399139,,,6.5,
conservative,保守,comm cooling,comm cooling,electricity,air conditioning hi-eff,elect_td_bld,cooling_high,2050,4.4444,0.3,4.0,4.837982157161037,8.85568709299427,0.9186474558244352,,,6.5,
